"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"11","President Barack Obama","His Highness Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.","Non-acceptance would cause embarrassment to donor and U.S. Government.","35″ 43″ framed painting of shapes and lines in blue, grey, black, and purple. Brown leather portfolio","National Archives and Records Adminsitration.","1040","2015-04-20","United Arab Emirates"
"12","President Barack Obama","His Excellency Shinzo Abe, Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","GPS solar analog wristwatch with steel link band, charcoal dial, and solar panel face","National Archives and Records Administration.","1722","2015-04-27","New Zealand"
"13","President Barack Obama","His Royal Highness Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Interior of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","36″ sword with handle made of mother-of-pearl and gold and sheath of ruby-encrusted gold and handmade silver detail","National Archives and Records Administration.","87900","2015-05-13","United Arab Emirates"
"14","President Barack Obama","His Highness Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Sterling silver coffee pot with beaded handle. Six small porcelain coffee cups. Two glass jars with silver lids. Box of assorted dates","National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.","502.5","2015-05-13","United Arab Emirates"
"15","President Barack Obama","His Highness Sayyid Fahd Bin Mahmoud Al Said, Deputy Prime Minister for the Council of Ministers of the Sultanate of Oman.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Large sterling silver coffee pot with detailed engravings","National Archives and Records Adminstration.","1900","2015-05-13","Oman"
"16","President Barack Obama","His Highness Sheikh Sabah AlAhmed Al-Jaber Al-Sabah, Amir of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","24″ 15″ silver-coated resin sculpture of camels and Bedouin on green marble base","Disposition –National Archives and Records Administration.","42000","2015-05-14","Saba"
"17","President Barack Obama","His Royal Highness Salman Bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Sterling silver sphere that opens to display clock under magnifying glass on wooden pedestal","National Archives and Records Administration.","10064","2015-05-14","Bahrain"
"18","President Barack Obama","His Excellency Lieutenant General Dr. Seretse Khama Ian Khama, President of the Republic of Botswana.","Non-acceptance would cause embarrassment to donor and U.S. Government.","31″ 42″ framed pencil sketch portrait of President Obama","National Archives and Records Administration","550","2015-05-14","Botswana"
"19","President Barack Obama","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","9″ gold-plated mechanical bird of Common Chiffchaff that tweets, turns, and flaps its wings once per hour","National Archives and Records Administration.","110000","2015-05-14","Qatar"
"20","President Barack Obama","His Excellency Beji Caid Essebsi, President of the Republic of Tunisia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","12″ miniature replica palm tree made of silver filigree on marble base","National Achives and Records Administration.","1900","2015-05-21","Tunisia"
"21","President Barack Obama","His Majesty King Willem-Alexander, King of the Netherlands.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Personalized bicycle made of black metal with bell. 10″ 12″ framed inscribed photograph of the King and Queen of the Netherlands","National Archives and Records Administration.","1600","2015-05-31","Netherlands"
"22","President Barack Obama","His Excellency Horst Seehofer, Minister-President of Bavaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Gold-tone cufflinks engraved with Bavarian coat of arms. 20″ carved wooden statue of barefoot man with walking stick and red satchel. Trekking poles with wristbands attached at the top. Black traditional Bavarian jacket with green collar. Brown leather hiking boots. Black hiking socks","National Archives and Records Administration.","1928.71","2015-06-07","Germany"
"23","President Barack Obama","Dr. Saleem Al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Ballpoint pen. Silver pocketwatch. USB drive","National Archives and Records Administration. USB drive handle pursuant to United States Secret Service policy.","440.99","2015-06-10","Iraq"
"24","President Barack Obama","Her Excellency Dilma Rousseff, President of the Federative Republic of Brazil.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Warm-up jacket for the Brazil Olympic Team. Rio 2016 white t-shirt. Book set of Brazilian classic literature in green leather-bound volumes. Silvertone cufflinks","National Archives and Records Administration.","695.5","2015-06-30","Brazil"
"25","President Barack Obama","His Excellency Muhammadu Buhari, President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","7’ diameter circular leather mat with geometric pattern. Three 28″ diameter leather covers for seating pads","National Archives and Records Administration.","2260","2015-07-19","Niger"
"26","President Barack Obama","His Excellency Hailemariam Desalegn, Prime Minister of the Federal Democratic Republic of Ethiopia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two 41″ 29″ framed photographs of then-Senator Obama’s 2006 visit to Ethiopia. Body sash in the colors of the Ethiopian flag. 16″ 20″ black and silver Amharic number script art. Blue and silver neck tie with Amharic numbers","National Archives and Records Administration.","747.95","2015-07-27","Ethiopia"
"27","President Barack Obama","His Excellency Uhuru Kenyatta, President of the Republic of Kenya.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: Kenya. Book, title: Kenya the Beautiful. 12″ 17″ miniature model of an elephant named Ahmed, known as the ‘‘King of Marsabit.’’ 31″ 25″ painted black and white portrait of the First Family. 36″ 25″ painted black and white portrait of President Obama. 24″ 34″ framed oil painting of lions approaching zebras on the African plain","National Archives and Records Administration.","3264.46","2015-07-27","Kenya"
"28","President Barack Obama","His Excellency Chum Bun Rong, Ambassador of the Kingdom of Cambodia to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13″ 10″ silver-tone plate with etching of Angkor Wat. Book, title: Cambodia’s Birds","National Archives and Records Administration.","421.32","2015-08-03","Cambodia"
"29","President Barack Obama","His Excellency Ban Ki-moon, Secretary-General of the United Nations.","Non-acceptance would cause embarrassment to donor and U.S. Government.","66″ 22″ framed parchment scroll with hand-painted calligraphy","National Archives and Records Administration.","1200","2015-08-04","na"
"30","President Barack Obama","The Custodian of the Two Holy Mosques Salman bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","26″ 22″ hand-made and specially commissioned bronze sculpture depicting two horses, one rearing and unsaddled and one standing and saddled, made with gold-plated sterling silver, diamonds, tsavorites, yellow sapphires, rubies, and obsidian mounted on piano black lacquer rotating base. Chronometer shaped like large winch from wooden sail ships with gold-plated casing, brass dial, crystal glass, and detail along the sides naming celebrated ships that made significant voyages. Set of ten golf irons. Leather golf bag with white stitching","National Archives and Records Administration.","522972","2015-09-03","United Arab Emirates"
"31","President Barack Obama","His Excellency Thomas Boni Yayi, President of the Republic of Benin.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13.5″ painted ebony wooden hand lantern. 18″ 27″ framed relief art of woman carrying basket on her shoulder. Ten pieces of Dutch cloth of varied patterns and colors. Twenty-nine table linen sets of various colors, each including table cloth, table runner, and place mats. Twelve bottles of champagne","National Archives and Records Administration.","9054.88","2015-09-09","Benin"
"32","President Barack Obama","His Excellency Xi Jinping, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","15″ 61″ 12″ bronze sculpture of five oxen facing different directons along plank with plaque describing the artwork’s significance. Book, title: Friends of the Chinese People—Commemorative Stamps. Book, title: For Justice and Peace","National Archives and Records Administration.","3840","2015-09-25","Republic of China"
"33","President Barack Obama","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","14″ large silver teapot with ornate vine design, the symbol of Brunei on the side, felt bottom, lid with knob, and pivoting handle","National Archives and Records Administration.","790","2015-10-01","Brunei"
"34","President Barack Obama","His Excellency Joachim Gauck, President of the Federal Republic of Germany.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Men’s stainless steel watch with leather band. Soccer ball in German National Team colors signed by the team. German National Team World Cup soccer jersey","National Archives and Records Administration.","2659.99","2015-10-06","Germany"
"35","President Barack Obama","His Excellency Ahmet Davutoğlu, Prime Minister of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13″ 13″ 8″ Kismet chest decorated in multicolored glass","National Archives and Records Administration.","2950","2015-10-16","Turkey"
"36","President Barack Obama","Her Excellency Park Geun-hye, President of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Chest of dark wood with metal corners, latch and lock, and lid decorated with an ox horn panel depicting an 18th century royal procession","National Archives and Records Administration.","2900","2015-10-16","South Korea"
"37","President Barack Obama","His Excellency Muhammad Non-ac Nawaz Sharif, Prime Minister of the Islamic Republic of Pakistan. G","ceptance would cause emarrassment to donor and U.S. overnment.","Cufflinks with shell design. 11’ 8’ rug of multicolored silk. Four framed pictures of President Obama’s mother working in Pakistan","National Archives and Records Administration.","23615","2015-10-21","Pakistan"
"38","President Barack Obama","His Excellency Joko Widodo, President of the Republic of Indonesia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13″ diameter round tray of polished silver with engraving around the edge and four spherical legs","National Archives and Records Administration.","990","2015-10-26","Indonesia"
"39","President Barack Obama","His Excellency Recep Tayyip Erdoğan, President of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Necktie of woven Turkish Kutnu fabric. Four sheets of stamps commemorating the G20 summit. Silk neck tie with Turkey G20 logo. Two cotton bathrobes with matching 55″ monogrammed towels. Book, title: Vision of Global Peace. 6.25″ silver-tone candy dish with star and crescent moon engraved into top and filled with Turkish delight candy. 12″ porcelain vase with lid","National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.","1112","2015-11-15","Turkey"
"40","President Barack Obama","His Excellency Benigno Aquino, President of the Republic of the Philippines.","Non-acceptance would cause embarrassment to donor and U.S. Government.","20″ wood and metal sculpture of APEC member countries. 16″ 8″ glass platter with brass banca boat handles. Tablet computer with case. Fifteen bottles of spirits. Banana chips. Chocolate-covered mangos","National Archives and Records Administration. Table and perishable items handled pursuant to United States Secret Service policy.","5026.84","2015-11-18","Philippines"
"41","President Barack Obama","General Raheel Sharif, Chief of Army Staff of the Islamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","70″ 104″ rug made of silk in floral pattern with tassels","National Archives and Records Administration.","1600","2015-11-20","Pakistan"
"42","President Barack Obama","YAB Dato’ Sri Najib bin Tun Abdul Razak, Prime Minister of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6″ pewter tankard with lid. Miniature silver gong suspended by chains from two curved arms with striking mallet and stand. Leather briefcase set including black document bag with handle and combination lock. 2016 daily planner","National Archives and Records Administration.","520","2015-11-21","Malaysia"
"43","President Barack Obama","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalem.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Food basket of handmade glass with blue tint. Assorted food products. Three candles. 17.5″ 17.5″ wooden serving board with two holes on the end. Two 3.5″ small metal serving bowls. 8″ 10″ silver-tone picture frame. Gas-powered wine system. Ten argon gas canisters. 20″ 12″ 12″ navy trunk","National Archives and Records Administration. Food, candles, and gas canisters handled pursuant to United States Secret Service policy.","1636.71","2015-12-01","Brunei"
"44","President Barack Obama","Government of the Republic of Cuba.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Seven boxes of cigars","Handled pursuant to United States Secret Service policy.","4158","2015-12-09","Cuba"
"45","President Barack Obama","His Excellency Jalil Abbas Jilani, Ambassador of the Islamic Republic of Pakistan to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","29″ 24″ framed and matted painting of President Obama decorated with floral and animal design","National Archives and Records Administration.","460","2015-12-27","Pakistan"
"46","First Family, Obamas","His Excellency Enrique Peña Nieto, President of the United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","4″ 4″ Tree of Life clay figurine including members of the First Family. 4″ 4″ President Barack Obama’s Tree of Life clay figurine. 2″ 2″ Tree of Life clay figurine including the White House and staff members. Magnifying glass. Golf ball and baseball cap signed by Mexican professional golfer. Book, title: Tribute to Lorena Ochoa","National Archives and Records Administration.","2950","2015-01-05","Mexico"
"47","First Family, Obamas","His Excellency Kadyr Toktogulov, Ambassador of the Kyrgyz Republic to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two brown leather cell phone sleeves. Two tablet computer sleeves. Laptop computer sleeve. Silk tapestry in red, blue, and brown. Handmade scarf","National Archives and Records Administration.","510","2015-02-20","Kyrgyzstan"
"48","First Family, Obamas","His Excellency Raúl Castro Ruz, President of the Republic of Cuba.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Ten CDs of Cuban music with CD rack. Long-sleeved button down linen Guyaybera shirt. Four bottles of spirits. Box of cigars with lighter. Wooden humidor. Four bottles of floral fragrances","National Archives and Records Administration. Liquids, cigars, lighter, and humidor handled pursuant to United States Secret Service policy.","1193.57","2015-04-11","Cuba"
"49","First Family, Obamas","His Majesty Felipe VI, King of Spain.","Non-acceptance would cause embarrassment to donor and U.S. Government.","12″ 10″ signed photograph of the King and Queen of Spain in silver frame","National Archives and Records Administration.","1100","2015-09-15","Spain"
"50","First Family, Obamas","His Royal Highness Prince Henry of Wales.","Non-acceptance would cause embarrassment to donor and U.S. Government.","12″ 10″ signed and framed photograph of Prince Henry of Wales","National Archives and Records Administration.","450","2015-10-28","United Kingdom of Great Britain and Northern Ireland"
"51","First Lady Michelle Obama","His Majesty Mohammed VI, King of Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Assorted chocolates in presentation basket","Perishable items handled pursuant to United States Secret Service Policy.","842","2015-01-20","Morocco"
"52","First Lady Michelle Obama","His Excellency Narendra Modi, Prime Minister of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hand-embroidered Shahmina shawl. Hand-carved wooden Jali box. Assorted Indian tea","National Archives and Records Administration. Tea handled pursuant to United States Secret Service policy.","662","2015-01-24","India"
"53","First Lady Michelle Obama","His Excellency Pranab Mukherjee, President of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Pashmina Shawl with hand-embroidery. Specially commissioned tea set, including pot, six cups, six saucers, milk pitcher, and sugar jar","National Archives and Records Administration.","900","2015-01-26","United Kingdom of Great Britain and Northern Ireland"
"54","First Lady Michelle Obama","Her Excellency Ellen Johnson Sirleaf, President of the Republic of Liberia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Quilt, hand-made from yellow and blue cotton fabric","National Archives and Records Administration.","450","2015-02-27","Liberia"
"55","First Lady Michelle Obama","Ms. Mu Sochua, Member of Parliament of the Kingdom of Cambodia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","4″ 6″ framed drawing of President Obama in blue ink. 5″ 7″ framed drawing of First Lady Michelle Obama in blue ink. Silk scarf with tassels","National Archives and Records Administration.","390","2015-03-18","Cambodia"
"56","First Lady Michelle Obama","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Necklace of pearls and gold links. 14.5″ 10.5″ plate of bone china, oval shape, with handpainted image of Bo and Sunny","National Archives and Records Administration.","2260","2015-03-19","Japan"
"57","First Lady Michelle Obama","Mrs. Akie Abe, Spouse of the Prime Minister of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Clutch purse in graphite swirl pattern. Aluminum chrysanthemum ornament. Pet accessories set including tray, two collars, and two collar bells, made of beige leather and green thatching","National Archives and Records Administration.","413","2015-04-27","Japan"
"58","First Lady Michelle Obama","His Highness Sheikh Sabah AlAhmed Al-Jaber Al-Sabah, Amir of the State of Kuwait.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Commemorative coin from the 5th Anniversary of the Proclamation of His Highness Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah as the Emir of Kuwait (2006– 2011). Leather greeting card with gold lettering. Black box with gold trim. Black robe with golden embroidery. Pink robe with golden embroidery. Case of six small gold-plated silver coins issued by the Central Bank of Kuwait","National Archives and Records Administration.","3550","2015-05-14","Saba"
"59","First Lady Michelle Obama","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Six porcelain plates with handpainted designs of birds, butterflies, and flowers, applied with polished 24-carat gold","National Archives and Records Administration.","6900","2015-05-14","Qatar"
"60","First Lady Michelle Obama","His Majesty King Willem-Alexander, King of the Netherlands.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Personalized bicycle made of black metal with bell","National Archives and Records Administration.","975","2015-05-31","Netherlands"
"61","First Lady Michelle Obama","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Sterling silver flower dish","National Archives and Records Administration.","650","2015-06-17","New Zealand"
"62","First Lady Michelle Obama","His Excellency Xi Jinping, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","18″ two-sided Suzshou embroidery depicting two giant pandas, mother and her cub, in circular wooden frame. Antique porcelain jewelry set including pair of earrings, ring, bracelet, and pendant","National Archives and Records Administration.","654","2015-09-25","Republic of China"
"63","First Lady Michelle Obama","Her Majesty Raja Isteri Pengiran Anak Haja Saleha of Brunei Darussalam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Silver jewelry set of rubies and diamonds, including necklace with teardrop pendant, ring, two teardrop earrings, and bracelet","National Archives and Records Administration.","73200","2015-09-30","Iran"
"64","First Lady Michelle Obama","His Excellency Joachim Guack, President of the Federal Republic of Germany.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Red ox leather bag","National Archives and Records Administration.","600.1","2015-10-06","Germany"
"65","First Lady Michelle Obama","Mrs. Sia Koroma, First Lady of the Republic of Sierra Leone.","Non-acceptance would cause embarrassment to donor and U.S. Government.","45″ painting of young African girl surrounded by musical instruments on Sierra Leoneshaped wood","National Archives and Records Administration.","780","2015-10-22","Sierra Leone"
"66","First Lady Michelle Obama","His Excellency Joko Widodo, President of the Republic of Indonesia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6″ 6″ 3″ music box of light brown wood and hinged top with decorative brass plate. Jewelry set of silver and orange onyx including round earrings with centered stone and 16″ necklace of gemstone and silver beads. 88″ 34″ silk scarf","National Archives and Records Administration.","521.41","2015-10-26","Indonesia"
"67","First Lady Michelle Obama","Her Highness Sheikha Moza bint Nasser Al Missned of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Polished music box of light and dark-colored indigenous wood","National Archives and Records Administration.","17720","2015-11-02","Qatar"
"68","First Lady Michelle Obama","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","9″ gold-plated mechanical bird of Common Chiffchaff that tweets, turns, and flaps its wings once per hour","National Archives and Records Administration.","110000","2015-11-02","Qatar"
"69","First Lady Michelle Obama","Mrs. Sara Netanyahu, Spouse of the Prime Minister of the State of Israel.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: Menashe Kadishman. 10″ 10″ painting of sheep’s head in multicolor. Three music CDs. Three spiral notebooks with floral pattern. Necklace of velvet fabric with floral print combining laces, glass beads, hand-sewn ribbons and colorful chains. Medallion pendant in Victorian style with crystals. Necklace of fairy with tassel skirt","National Archives and Records Administration.","2761","2014-08-06","Israel"
"70","First Lady Michelle Obama","General Raheel Sharif, Chief of Army Staff of the Islamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Necklace of hand-cut rubies and 22-carat gold clasp","National Archives and Records Administration.","740","2015-11-20","Pakistan"
"71","First Lady Michelle Obama","YABhg. Datin Paduka Seri Rosmah Mansor, Spouse of the Prime Minister of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","4″ 6.5″ silver and gold-tones metal purse with chain strap and gemstone above the latch. 44″ 150″ section of dark blue fabric. 75.5″ 20.5″ dark blue scarf with silver design and stars","National Archives and Records Administration.","620","2015-11-21","United Kingdom of Great Britain and Northern Ireland"
"72","First Family, Obamas","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Mini purse of red and pink leather with gold-tone chain strap. Purple floral print silk scarf","National Archives and Records Administration.","1420","2015-06-17","New Zealand"
"73","First Family, Obamas","His Holiness Pope Francis","Non-acceptance would cause embarrassment to donor and U.S. Government.","10″ bronze-colored medallion stamped with the symbol of the World Meeting of Families in 22″ 19″ blue velvet matte and frame","National Archives and Records Administration.","425","2015-09-22","Vatican City State"
"74","White House Staff Member Lisa Monaco.","Mr. Bernard Cazeneuve, Minister of the Interior of the Republic of France.","Non-acceptance would cause embarrassment to donor and U.S. Government.","5″ small round silver-plated bangle bowl","Transferred to General Services Administration.","380","2015-02-19","France"
"75","White House Staff Member Susan Rice.","His Royal Highness Salman Bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain.","Non-acceptance would cause embarrassment to donor and U.S. Government.","24″ 15″ silver-coated resin sculpture of camels and Bedouin on green marble base","Transferred to General Services Administration.","850","2015-05-14","Bahrain"
"76","White House Staff Member Major Andrew Steadman.","His Excellency Horst Seehofer, Minister-President of Bavaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: Bavaria—Land at the Heart of Europe. Gray backpack with G7 logo. Compact umbrella. White cup with G7 logo. 4.5″ white lion figurine","Transferred to General Services Administration.","604.87","2015-06-06","Germany"
"77","White House Staff Member Susan Rice.","General Fan Changlong, Vice Chairman of the Central Military Commission of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two bronze-colored coins engraved with the donor’s name and image of the Great Wall of China. Book, title: Let History Bear Witness to Our Friendship. Silk scarf with purple floral print. 16″ commemorative plate with picture of President Obama on wooden stand. 16″ 16″ framed floral print embroidery","Transferred to General Services Administration.","880","2015-06-12","Republic of China"
"78","White House Staff Member Susan Rice.","General Raheel Sharif, Chief of Army Staff of the Islamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Travel jewelry organizer. Fivestrand cranberry red ruby necklace. Replica of the National Martyrs Memorial. 10″ silver bowl","Transferred to General Services Administration.","1245","2015-08-29","Pakistan"
"79","White House Staff Member Susan Rice.","The Custodian of the Two Holy Mosques Salman bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","13″ 16″ silver and gold-plated sculpture of three gemsbok on rocky surface among palms on lacquer base","Transferred to General Services Administration.","31500","2015-09-04","United Arab Emirates"
"80","White House Staff Member Denis McDonough.","The Custodian of the Two Holy Mosques Salman bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","14″ 12″ silver and gold-plated sculpture of three figures of Bedouin group and tent among palm trees set on polished green malachite","Transferred to General Services Administration.","52000","2015-09-04","United Arab Emirates"
"81","White House Staff Member Courtney Cooper.","His Excellency Mohammad Hanif Atmar, National Security Advisor of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6.5″ blue lapis lazuli bowl","Transferred to General Services Administration.","425","2015-09-12","Afghanistan"
"82","White House Staff Member Josh White.","His Excellency Nasir Ahmad Durrani, Minister of Rual Rehabilitation and Development of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Lapis lazuli desk organizer with business card holder, clock, and pen holder","Transferred to General Services Administration.","425","2015-09-15","Afghanistan"
"83","White House Staff Member Caitlin Spicer.","His Excellency Eng. Sami Halaseh, Minister of Public Works and Housing for the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","20″ 52″ Handwoven rug with fringe, multicolored with diamond and triangle pattern","Transferred to General Services Administration.","900","2015-12-15","Jordan"
